"x","kegg","uniprot","ensembl","pharmgkb","ncbigene"
"http://bio2rdf.org/drugbank:BE0003584","http://bio2rdf.org/kegg:hsa_1143","http://bio2rdf.org/uniprot:P30926","http://bio2rdf.org/ensembl:ENSG00000117971","http://bio2rdf.org/pharmgkb:PA26496","http://bio2rdf.org/ncbigene:1143"
"http://bio2rdf.org/drugbank:BE0000192","http://bio2rdf.org/kegg:hsa_11280","http://bio2rdf.org/uniprot:Q9UI33","http://bio2rdf.org/ensembl:ENSG00000168356","http://bio2rdf.org/pharmgkb:PA35001","http://bio2rdf.org/ncbigene:11280"
"http://bio2rdf.org/drugbank:BE0000714","http://bio2rdf.org/kegg:hsa_1158","http://bio2rdf.org/uniprot:B2R892","http://bio2rdf.org/ensembl:ENSG00000104879","http://bio2rdf.org/pharmgkb:PA26532","http://bio2rdf.org/ncbigene:1158"
"http://bio2rdf.org/drugbank:BE0000714","http://bio2rdf.org/kegg:hsa_1158","http://bio2rdf.org/uniprot:P06732","http://bio2rdf.org/ensembl:ENSG00000104879","http://bio2rdf.org/pharmgkb:PA26532","http://bio2rdf.org/ncbigene:1158"
"http://bio2rdf.org/drugbank:BE0000345","http://bio2rdf.org/kegg:hsa_5618","http://bio2rdf.org/uniprot:P16471","http://bio2rdf.org/ensembl:ENSG00000113494","http://bio2rdf.org/pharmgkb:PA33791","http://bio2rdf.org/ncbigene:5618"
"http://bio2rdf.org/drugbank:BE0001122","http://bio2rdf.org/kegg:hsa_8989","http://bio2rdf.org/uniprot:O75762","http://bio2rdf.org/ensembl:ENSG00000104321","http://bio2rdf.org/pharmgkb:PA24808","http://bio2rdf.org/ncbigene:8989"
"http://bio2rdf.org/drugbank:BE0001058","http://bio2rdf.org/kegg:hsa_1118","http://bio2rdf.org/uniprot:Q13231","http://bio2rdf.org/ensembl:ENSG00000133063","http://bio2rdf.org/pharmgkb:PA26467","http://bio2rdf.org/ncbigene:1118"
"http://bio2rdf.org/drugbank:BE0004277","http://bio2rdf.org/kegg:hsa_126003","http://bio2rdf.org/uniprot:Q8IUR0","http://bio2rdf.org/ensembl:ENSG00000181029","http://bio2rdf.org/pharmgkb:PA134875218","http://bio2rdf.org/ncbigene:126003"
"http://bio2rdf.org/drugbank:BE0000091","http://bio2rdf.org/kegg:hsa_116447","http://bio2rdf.org/uniprot:Q969P6","http://bio2rdf.org/ensembl:ENSG00000184428","http://bio2rdf.org/pharmgkb:PA134922772","http://bio2rdf.org/ncbigene:116447"
"http://bio2rdf.org/drugbank:BE0000177","http://bio2rdf.org/kegg:hsa_6336","http://bio2rdf.org/uniprot:Q9Y5Y9","http://bio2rdf.org/ensembl:ENSG00000185313","http://bio2rdf.org/pharmgkb:PA35000","http://bio2rdf.org/ncbigene:6336"
"http://bio2rdf.org/drugbank:BE0000968","http://bio2rdf.org/kegg:hsa_11255","http://bio2rdf.org/uniprot:Q9Y5N1","http://bio2rdf.org/ensembl:ENSG00000101180","http://bio2rdf.org/pharmgkb:PA29458","http://bio2rdf.org/ncbigene:11255"
"http://bio2rdf.org/drugbank:BE0000382","http://bio2rdf.org/kegg:hsa_1723","http://bio2rdf.org/uniprot:Q02127","http://bio2rdf.org/ensembl:ENSG00000102967","http://bio2rdf.org/pharmgkb:PA27327","http://bio2rdf.org/ncbigene:1723"
"http://bio2rdf.org/drugbank:BE0002308","http://bio2rdf.org/kegg:hsa_140679","http://bio2rdf.org/uniprot:Q9H598","http://bio2rdf.org/ensembl:ENSG00000101438","http://bio2rdf.org/pharmgkb:PA401","http://bio2rdf.org/ncbigene:140679"
"http://bio2rdf.org/drugbank:BE0000219","http://bio2rdf.org/kegg:hsa_440","http://bio2rdf.org/uniprot:P08243","http://bio2rdf.org/ensembl:ENSG00000070669","http://bio2rdf.org/pharmgkb:PA25052","http://bio2rdf.org/ncbigene:440"
"http://bio2rdf.org/drugbank:BE0002423","http://bio2rdf.org/kegg:hsa_124056","http://bio2rdf.org/uniprot:A8K832","http://bio2rdf.org/ensembl:ENSG00000196408","http://bio2rdf.org/pharmgkb:PA134896072","http://bio2rdf.org/ncbigene:124056"
"http://bio2rdf.org/drugbank:BE0002423","http://bio2rdf.org/kegg:hsa_124056","http://bio2rdf.org/uniprot:Q8NFA2","http://bio2rdf.org/ensembl:ENSG00000196408","http://bio2rdf.org/pharmgkb:PA134896072","http://bio2rdf.org/ncbigene:124056"
"http://bio2rdf.org/drugbank:BE0004043","http://bio2rdf.org/kegg:hsa_1198","http://bio2rdf.org/uniprot:B3KRI8","http://bio2rdf.org/ensembl:ENSG00000179335","http://bio2rdf.org/pharmgkb:PA26597","http://bio2rdf.org/ncbigene:1198"
"http://bio2rdf.org/drugbank:BE0004043","http://bio2rdf.org/kegg:hsa_1198","http://bio2rdf.org/uniprot:P49761","http://bio2rdf.org/ensembl:ENSG00000179335","http://bio2rdf.org/pharmgkb:PA26597","http://bio2rdf.org/ncbigene:1198"
"http://bio2rdf.org/drugbank:BE0001019","http://bio2rdf.org/kegg:hsa_1432","http://bio2rdf.org/uniprot:L7RSM2","http://bio2rdf.org/ensembl:ENSG00000112062","http://bio2rdf.org/pharmgkb:PA30621","http://bio2rdf.org/ncbigene:1432"
"http://bio2rdf.org/drugbank:BE0001185","http://bio2rdf.org/kegg:hsa_1429","http://bio2rdf.org/uniprot:Q08257","http://bio2rdf.org/ensembl:ENSG00000116791","http://bio2rdf.org/pharmgkb:PA26925","http://bio2rdf.org/ncbigene:1429"
"http://bio2rdf.org/drugbank:BE0001019","http://bio2rdf.org/kegg:hsa_1432","http://bio2rdf.org/uniprot:Q16539","http://bio2rdf.org/ensembl:ENSG00000112062","http://bio2rdf.org/pharmgkb:PA30621","http://bio2rdf.org/ncbigene:1432"
"http://bio2rdf.org/drugbank:BE0002406","http://bio2rdf.org/kegg:hsa_5293","http://bio2rdf.org/uniprot:A7E2E0","http://bio2rdf.org/ensembl:ENSG00000171608","http://bio2rdf.org/pharmgkb:PA33310","http://bio2rdf.org/ncbigene:5293"
"http://bio2rdf.org/drugbank:BE0002406","http://bio2rdf.org/kegg:hsa_5293","http://bio2rdf.org/uniprot:O00329","http://bio2rdf.org/ensembl:ENSG00000171608","http://bio2rdf.org/pharmgkb:PA33310","http://bio2rdf.org/ncbigene:5293"
"http://bio2rdf.org/drugbank:BE0003984","http://bio2rdf.org/kegg:hsa_1459","http://bio2rdf.org/uniprot:P19784","http://bio2rdf.org/ensembl:ENSG00000070770","http://bio2rdf.org/pharmgkb:PA26959","http://bio2rdf.org/ncbigene:1459"
"http://bio2rdf.org/drugbank:BE0000999","http://bio2rdf.org/kegg:hsa_10673","http://bio2rdf.org/uniprot:Q9Y275","http://bio2rdf.org/ensembl:ENSG00000102524","http://bio2rdf.org/pharmgkb:PA434","http://bio2rdf.org/ncbigene:10673"
"http://bio2rdf.org/drugbank:BE0001840","http://bio2rdf.org/kegg:hsa_1675","http://bio2rdf.org/uniprot:P00746","http://bio2rdf.org/ensembl:ENSG00000197766","http://bio2rdf.org/pharmgkb:PA142","http://bio2rdf.org/ncbigene:1675"
"http://bio2rdf.org/drugbank:BE0000309","http://bio2rdf.org/kegg:hsa_246","http://bio2rdf.org/uniprot:P16050","http://bio2rdf.org/ensembl:ENSG00000161905","http://bio2rdf.org/pharmgkb:PA48","http://bio2rdf.org/ncbigene:246"
"http://bio2rdf.org/drugbank:BE0002344","http://bio2rdf.org/kegg:hsa_2560","http://bio2rdf.org/uniprot:P18505","http://bio2rdf.org/ensembl:ENSG00000163288","http://bio2rdf.org/pharmgkb:PA28495","http://bio2rdf.org/ncbigene:2560"
"http://bio2rdf.org/drugbank:BE0002344","http://bio2rdf.org/kegg:hsa_2560","http://bio2rdf.org/uniprot:X5DNL6","http://bio2rdf.org/ensembl:ENSG00000163288","http://bio2rdf.org/pharmgkb:PA28495","http://bio2rdf.org/ncbigene:2560"
"http://bio2rdf.org/drugbank:BE0000839","http://bio2rdf.org/kegg:hsa_2534","http://bio2rdf.org/uniprot:P06241","http://bio2rdf.org/ensembl:ENSG00000010810","http://bio2rdf.org/pharmgkb:PA28454","http://bio2rdf.org/ncbigene:2534"
"http://bio2rdf.org/drugbank:BE0000887","http://bio2rdf.org/kegg:hsa_1493","http://bio2rdf.org/uniprot:P16410","http://bio2rdf.org/ensembl:ENSG00000163599","http://bio2rdf.org/pharmgkb:PA27006","http://bio2rdf.org/ncbigene:1493"
"http://bio2rdf.org/drugbank:BE0002139","http://bio2rdf.org/kegg:hsa_2206","http://bio2rdf.org/uniprot:Q01362","http://bio2rdf.org/ensembl:ENSG00000149534","http://bio2rdf.org/pharmgkb:PA31109","http://bio2rdf.org/ncbigene:2206"
"http://bio2rdf.org/drugbank:BE0003719","http://bio2rdf.org/kegg:hsa_24145","http://bio2rdf.org/uniprot:Q96RD7","http://bio2rdf.org/ensembl:ENSG00000110218","http://bio2rdf.org/pharmgkb:PA32929","http://bio2rdf.org/ncbigene:24145"
"http://bio2rdf.org/drugbank:BE0000389","http://bio2rdf.org/kegg:hsa_1815","http://bio2rdf.org/uniprot:P21917","http://bio2rdf.org/ensembl:ENSG00000069696","http://bio2rdf.org/pharmgkb:PA27480","http://bio2rdf.org/ncbigene:1815"
"http://bio2rdf.org/drugbank:BE0001046","http://bio2rdf.org/kegg:hsa_2006","http://bio2rdf.org/uniprot:P15502","http://bio2rdf.org/ensembl:ENSG00000049540","http://bio2rdf.org/pharmgkb:PA27757","http://bio2rdf.org/ncbigene:2006"
"http://bio2rdf.org/drugbank:BE0000767","http://bio2rdf.org/kegg:hsa_1956","http://bio2rdf.org/uniprot:P00533","http://bio2rdf.org/ensembl:ENSG00000146648","http://bio2rdf.org/pharmgkb:PA7360","http://bio2rdf.org/ncbigene:1956"
"http://bio2rdf.org/drugbank:BE0000959","http://bio2rdf.org/kegg:hsa_2194","http://bio2rdf.org/uniprot:P49327","http://bio2rdf.org/ensembl:ENSG00000169710","http://bio2rdf.org/pharmgkb:PA28006","http://bio2rdf.org/ncbigene:2194"
"http://bio2rdf.org/drugbank:BE0000204","http://bio2rdf.org/kegg:hsa_23395","http://bio2rdf.org/uniprot:Q15031","http://bio2rdf.org/ensembl:ENSG00000011376","http://bio2rdf.org/pharmgkb:PA134982982","http://bio2rdf.org/ncbigene:23395"
"http://bio2rdf.org/drugbank:BE0000673","http://bio2rdf.org/kegg:hsa_23761","http://bio2rdf.org/uniprot:Q9UG56","http://bio2rdf.org/ensembl:ENSG00000241878","http://bio2rdf.org/pharmgkb:PA33333","http://bio2rdf.org/ncbigene:23761"
"http://bio2rdf.org/drugbank:BE0002324","http://bio2rdf.org/kegg:hsa_1606","http://bio2rdf.org/uniprot:P23743","http://bio2rdf.org/ensembl:ENSG00000065357","http://bio2rdf.org/pharmgkb:PA27310","http://bio2rdf.org/ncbigene:1606"
"http://bio2rdf.org/drugbank:BE0000076","http://bio2rdf.org/kegg:hsa_284904","http://bio2rdf.org/uniprot:B2RMR2","http://bio2rdf.org/ensembl:ENSG00000133488","http://bio2rdf.org/pharmgkb:PA134979694","http://bio2rdf.org/ncbigene:284904"
"http://bio2rdf.org/drugbank:BE0000076","http://bio2rdf.org/kegg:hsa_284904","http://bio2rdf.org/uniprot:B3KRP9","http://bio2rdf.org/ensembl:ENSG00000133488","http://bio2rdf.org/pharmgkb:PA134979694","http://bio2rdf.org/ncbigene:284904"
"http://bio2rdf.org/drugbank:BE0000076","http://bio2rdf.org/kegg:hsa_284904","http://bio2rdf.org/uniprot:Q9UDX3","http://bio2rdf.org/ensembl:ENSG00000133488","http://bio2rdf.org/pharmgkb:PA134979694","http://bio2rdf.org/ncbigene:284904"
"http://bio2rdf.org/drugbank:BE0002324","http://bio2rdf.org/kegg:hsa_1606","http://bio2rdf.org/uniprot:A0A024RB23","http://bio2rdf.org/ensembl:ENSG00000065357","http://bio2rdf.org/pharmgkb:PA27310","http://bio2rdf.org/ncbigene:1606"
"http://bio2rdf.org/drugbank:BE0000673","http://bio2rdf.org/kegg:hsa_23761","http://bio2rdf.org/uniprot:A0A024R1K5","http://bio2rdf.org/ensembl:ENSG00000241878","http://bio2rdf.org/pharmgkb:PA33333","http://bio2rdf.org/ncbigene:23761"
"http://bio2rdf.org/drugbank:BE0003719","http://bio2rdf.org/kegg:hsa_24145","http://bio2rdf.org/uniprot:A0A024R397","http://bio2rdf.org/ensembl:ENSG00000110218","http://bio2rdf.org/pharmgkb:PA32929","http://bio2rdf.org/ncbigene:24145"
"http://bio2rdf.org/drugbank:BE0000651","http://bio2rdf.org/kegg:hsa_3560","http://bio2rdf.org/uniprot:P14784","http://bio2rdf.org/ensembl:ENSG00000100385","http://bio2rdf.org/pharmgkb:PA29829","http://bio2rdf.org/ncbigene:3560"
"http://bio2rdf.org/drugbank:BE0002441","http://bio2rdf.org/kegg:hsa_3764","http://bio2rdf.org/uniprot:Q15842","http://bio2rdf.org/ensembl:ENSG00000121361","http://bio2rdf.org/pharmgkb:PA30050","http://bio2rdf.org/ncbigene:3764"
"http://bio2rdf.org/drugbank:BE0000081","http://bio2rdf.org/kegg:hsa_4705","http://bio2rdf.org/uniprot:O95299","http://bio2rdf.org/ensembl:ENSG00000130414","http://bio2rdf.org/pharmgkb:PA31490","http://bio2rdf.org/ncbigene:4705"
"http://bio2rdf.org/drugbank:BE0003882","http://bio2rdf.org/kegg:hsa_51056","http://bio2rdf.org/uniprot:P28838","http://bio2rdf.org/ensembl:ENSG00000002549","http://bio2rdf.org/pharmgkb:PA38537","http://bio2rdf.org/ncbigene:51056"
"http://bio2rdf.org/drugbank:BE0004906","http://bio2rdf.org/kegg:hsa_3778","http://bio2rdf.org/uniprot:Q12791","http://bio2rdf.org/ensembl:ENSG00000156113","http://bio2rdf.org/pharmgkb:PA220","http://bio2rdf.org/ncbigene:3778"
"http://bio2rdf.org/drugbank:BE0000553","http://bio2rdf.org/kegg:hsa_3778","http://bio2rdf.org/uniprot:Q12791","http://bio2rdf.org/ensembl:ENSG00000156113","http://bio2rdf.org/pharmgkb:PA220","http://bio2rdf.org/ncbigene:3778"
"http://bio2rdf.org/drugbank:BE0004906","http://bio2rdf.org/kegg:hsa_3778","http://bio2rdf.org/uniprot:Q59FH2","http://bio2rdf.org/ensembl:ENSG00000156113","http://bio2rdf.org/pharmgkb:PA220","http://bio2rdf.org/ncbigene:3778"
"http://bio2rdf.org/drugbank:BE0000553","http://bio2rdf.org/kegg:hsa_3778","http://bio2rdf.org/uniprot:Q59FH2","http://bio2rdf.org/ensembl:ENSG00000156113","http://bio2rdf.org/pharmgkb:PA220","http://bio2rdf.org/ncbigene:3778"
"http://bio2rdf.org/drugbank:BE0002859","http://bio2rdf.org/kegg:hsa_3570","http://bio2rdf.org/uniprot:A0N0L5","http://bio2rdf.org/ensembl:ENSG00000160712","http://bio2rdf.org/pharmgkb:PA29835","http://bio2rdf.org/ncbigene:3570"
"http://bio2rdf.org/drugbank:BE0002859","http://bio2rdf.org/kegg:hsa_3570","http://bio2rdf.org/uniprot:P08887","http://bio2rdf.org/ensembl:ENSG00000160712","http://bio2rdf.org/pharmgkb:PA29835","http://bio2rdf.org/ncbigene:3570"
"http://bio2rdf.org/drugbank:BE0000369","http://bio2rdf.org/kegg:hsa_3791","http://bio2rdf.org/uniprot:P35968","http://bio2rdf.org/ensembl:ENSG00000128052","http://bio2rdf.org/pharmgkb:PA30086","http://bio2rdf.org/ncbigene:3791"
"http://bio2rdf.org/drugbank:BE0000416","http://bio2rdf.org/kegg:hsa_3590","http://bio2rdf.org/uniprot:Q14626","http://bio2rdf.org/ensembl:ENSG00000137070","http://bio2rdf.org/pharmgkb:PA29782","http://bio2rdf.org/ncbigene:3590"
"http://bio2rdf.org/drugbank:BE0000416","http://bio2rdf.org/kegg:hsa_3590","http://bio2rdf.org/uniprot:Q5VZ79","http://bio2rdf.org/ensembl:ENSG00000137070","http://bio2rdf.org/pharmgkb:PA29782","http://bio2rdf.org/ncbigene:3590"
"http://bio2rdf.org/drugbank:BE0001036","http://bio2rdf.org/kegg:hsa_3563","http://bio2rdf.org/uniprot:P26951","http://bio2rdf.org/ensembl:ENSG00000185291","http://bio2rdf.org/pharmgkb:PA29831","http://bio2rdf.org/ncbigene:3563"
"http://bio2rdf.org/drugbank:BE0001156","http://bio2rdf.org/kegg:hsa_331","http://bio2rdf.org/uniprot:P98170","http://bio2rdf.org/ensembl:ENSG00000101966","http://bio2rdf.org/pharmgkb:PA25361","http://bio2rdf.org/ncbigene:331"
"http://bio2rdf.org/drugbank:BE0000974","http://bio2rdf.org/kegg:hsa_2912","http://bio2rdf.org/uniprot:Q14416","http://bio2rdf.org/ensembl:ENSG00000164082","http://bio2rdf.org/pharmgkb:PA28991","http://bio2rdf.org/ncbigene:2912"
"http://bio2rdf.org/drugbank:BE0000974","http://bio2rdf.org/kegg:hsa_2912","http://bio2rdf.org/uniprot:Q86YG3","http://bio2rdf.org/ensembl:ENSG00000164082","http://bio2rdf.org/pharmgkb:PA28991","http://bio2rdf.org/ncbigene:2912"
"http://bio2rdf.org/drugbank:BE0001076","http://bio2rdf.org/kegg:hsa_3265","http://bio2rdf.org/uniprot:P01112","http://bio2rdf.org/ensembl:ENSG00000174775","http://bio2rdf.org/pharmgkb:PA29444","http://bio2rdf.org/ncbigene:3265"
"http://bio2rdf.org/drugbank:BE0000915","http://bio2rdf.org/kegg:hsa_4233","http://bio2rdf.org/uniprot:P08581","http://bio2rdf.org/ensembl:ENSG00000105976","http://bio2rdf.org/pharmgkb:PA30763","http://bio2rdf.org/ncbigene:4233"
"http://bio2rdf.org/drugbank:BE0004155","http://bio2rdf.org/kegg:hsa_4233","http://bio2rdf.org/uniprot:P08581","http://bio2rdf.org/ensembl:ENSG00000105976","http://bio2rdf.org/pharmgkb:PA30763","http://bio2rdf.org/ncbigene:4233"
"http://bio2rdf.org/drugbank:BE0001076","http://bio2rdf.org/kegg:hsa_3265","http://bio2rdf.org/uniprot:X5D945","http://bio2rdf.org/ensembl:ENSG00000174775","http://bio2rdf.org/pharmgkb:PA29444","http://bio2rdf.org/ncbigene:3265"
"http://bio2rdf.org/drugbank:BE0000135","http://bio2rdf.org/kegg:hsa_501","http://bio2rdf.org/uniprot:P49419","http://bio2rdf.org/ensembl:ENSG00000164904","http://bio2rdf.org/pharmgkb:PA24704","http://bio2rdf.org/ncbigene:501"
"http://bio2rdf.org/drugbank:BE0004044","http://bio2rdf.org/kegg:hsa_3422","http://bio2rdf.org/uniprot:Q13907","http://bio2rdf.org/ensembl:ENSG00000067064","http://bio2rdf.org/pharmgkb:PA29635","http://bio2rdf.org/ncbigene:3422"
"http://bio2rdf.org/drugbank:BE0002282","http://bio2rdf.org/kegg:hsa_4257","http://bio2rdf.org/uniprot:P10620","http://bio2rdf.org/ensembl:ENSG00000008394","http://bio2rdf.org/pharmgkb:PA30791","http://bio2rdf.org/ncbigene:4257"
"http://bio2rdf.org/drugbank:BE0000338","http://bio2rdf.org/kegg:hsa_4707","http://bio2rdf.org/uniprot:O75438","http://bio2rdf.org/ensembl:ENSG00000183648","http://bio2rdf.org/pharmgkb:PA31501","http://bio2rdf.org/ncbigene:4707"
"http://bio2rdf.org/drugbank:BE0003578","http://bio2rdf.org/kegg:hsa_2977","http://bio2rdf.org/uniprot:P33402","http://bio2rdf.org/ensembl:ENSG00000152402","http://bio2rdf.org/pharmgkb:PA186","http://bio2rdf.org/ncbigene:2977"
"http://bio2rdf.org/drugbank:BE0000819","http://bio2rdf.org/kegg:hsa_2954","http://bio2rdf.org/uniprot:O43708","http://bio2rdf.org/ensembl:ENSG00000100577","http://bio2rdf.org/pharmgkb:PA29031","http://bio2rdf.org/ncbigene:2954"
"http://bio2rdf.org/drugbank:BE0000198","http://bio2rdf.org/kegg:hsa_3735","http://bio2rdf.org/uniprot:Q15046","http://bio2rdf.org/ensembl:ENSG00000065427","http://bio2rdf.org/pharmgkb:PA30016","http://bio2rdf.org/ncbigene:3735"
"http://bio2rdf.org/drugbank:BE0002287","http://bio2rdf.org/kegg:hsa_2876","http://bio2rdf.org/uniprot:P07203","http://bio2rdf.org/ensembl:ENSG00000233276","http://bio2rdf.org/pharmgkb:PA28949","http://bio2rdf.org/ncbigene:2876"
"http://bio2rdf.org/drugbank:BE0000816","http://bio2rdf.org/kegg:hsa_2876","http://bio2rdf.org/uniprot:P07203","http://bio2rdf.org/ensembl:ENSG00000233276","http://bio2rdf.org/pharmgkb:PA28949","http://bio2rdf.org/ncbigene:2876"
"http://bio2rdf.org/drugbank:BE0000814","http://bio2rdf.org/kegg:hsa_2950","http://bio2rdf.org/uniprot:P09211","http://bio2rdf.org/ensembl:ENSG00000084207","http://bio2rdf.org/pharmgkb:PA29028","http://bio2rdf.org/ncbigene:2950"
"http://bio2rdf.org/drugbank:BE0002287","http://bio2rdf.org/kegg:hsa_2876","http://bio2rdf.org/uniprot:Q7L4Q3","http://bio2rdf.org/ensembl:ENSG00000233276","http://bio2rdf.org/pharmgkb:PA28949","http://bio2rdf.org/ncbigene:2876"
"http://bio2rdf.org/drugbank:BE0000816","http://bio2rdf.org/kegg:hsa_2876","http://bio2rdf.org/uniprot:Q7L4Q3","http://bio2rdf.org/ensembl:ENSG00000233276","http://bio2rdf.org/pharmgkb:PA28949","http://bio2rdf.org/ncbigene:2876"
"http://bio2rdf.org/drugbank:BE0000814","http://bio2rdf.org/kegg:hsa_2950","http://bio2rdf.org/uniprot:V9HWE9","http://bio2rdf.org/ensembl:ENSG00000084207","http://bio2rdf.org/pharmgkb:PA29028","http://bio2rdf.org/ncbigene:2950"
"http://bio2rdf.org/drugbank:BE0000545","http://bio2rdf.org/kegg:hsa_4706","http://bio2rdf.org/uniprot:O14561","http://bio2rdf.org/ensembl:ENSG00000004779","http://bio2rdf.org/pharmgkb:PA31500","http://bio2rdf.org/ncbigene:4706"
